,incident_id,state,n_killed,n_injured,source_url,latitude,longitude
194,480366,District of Columbia,11,3,https://www.washingtonpost.com/local/police-search-for-active-shooter-on-grounds-of-washington-navy-yard-in-southeast-dc/2013/09/16/b1d72b9a-1ecb-11e3-b7d1-7153ad47b549_story.html,38.873,-76.9977
202,480605,Texas,5,0,http://www.corsicanadailysun.com/news/local_news/update-rice-deaths-suspected-as-murder-suicide/article_250814e0-365b-5ed2-ac59-d5502b76dafa.html,32.2337,-96.4661
218,480981,Texas,4,0,http://dfw.cbslocal.com/2013/10/10/witness-comes-forward-in-quadruple-homicide-in-paris-texas/,33.6652,-95.5505
227,492325,Arizona,5,0,http://www.usatoday.com/story/news/nation/2013/10/28/phoenix-quadruple-shooting/3292871/,33.5042,-112.096
232,492914,South Carolina,5,0,http://www.nbcnews.com/news/other/six-people-found-shot-death-south-carolina-home-f8C11494274,33.9881,-82.2888
237,493109,Florida,4,0,http://jacksonville.com/breaking-news/2013-11-08/story/surveillance-footage-may-have-hints-about-vehicle-involved,30.3068,-81.7298
242,493882,New York,4,1,http://nypost.com/2013/11/11/gunman-three-others-dead-in-brooklyn-bloodshed/,40.7122,-73.9359
248,494155,Oklahoma,4,1,http://www.tulsaworld.com/news/crimewatch/leads-are-few-in-nov-quadruple-homicide-tulsa-police-say/article_2b1f879d-639e-53cd-9b2d-fb2c931bd46e.html,36.1771,-95.9403
258,495332,Kansas,4,0,http://www.kake.com/home/headlines/Three-dead-one-injured-in-Topeka-shooting-234030831.html?ref=831,39.0379,-95.6905
2318,96942,South Carolina,4,0,http://www.wistv.com/story/24466406/neighbors-shocked-and-saddened-after-family-of-four-found-dead,34.0942,-81.1525
2502,97365,Utah,5,0,http://www.deseretnews.com/article/865594341/5-found-dead-in-Spanish-Fork-home-suspected-murder-suicide.html,40.1109,-111.665
5070,140117,Texas,4,0,http://www.beaumontenterprise.com/news/texas/article/Sheriff-asks-for-help-in-probe-of-family-s-slaying-5658087.php,29.973,-95.6542
5493,104618,Ohio,4,0,http://www.toledoblade.com/Police-Fire/2014/02/07/Murder-weapon-recovered-from-scene-of-triple-murder-suicide-in-Defiance-County,41.2236,-84.339
6816,108691,Indiana,4,0,http://fox59.com/2015/12/14/prosecutors-wont-pursue-death-penalty-after-plea-deal-reached-in-quadruple-indianapolis-slaying/,39.717,-86.1136
6834,108649,California,4,2,http://sanfrancisco.cbslocal.com/2014/02/20/4-dead-2-injured-in-shooting-at-norcal-tribal-headquarters/,41.4838,-120.545
7383,109957,Virginia,5,1,http://www.wcyb.com/news/police-victims-of-possible-shooting-in-southwest-virginia/-/14590844/24656924/-/9opswz/-/index.html,36.7843,-81.7848
7539,110365,Illinois,4,0,http://www.suntimes.com/25870450-761/suspected-gunman-argued-with-family-night-before-apparent-murders-house-fire.html,41.7142,-87.7481
11566,121031,Texas,4,16,http://kdhnews.com/military/shooting-report-could-spark-change-to-fort-hood-s-gun/article_1531a40c-a456-11e4-89ca-875214898bf3.html,31.133,-97.7944
15536,131998,Arkansas,4,4,http://www.journalgazette.net/article/20140504/NEWS03/140509744/1006/news,35.8423,-90.7043
16150,133202,Florida,4,0,http://www.abcactionnews.com/news/crime/autopsy-report-released-on-avila-resident-darrin-campbell-and-his-family-killed-in-a-mur,28.0985,-82.467
16367,133455,California,4,0,http://homicide.latimes.com/post/manuela-padilla/,34.081,-117.74
18242,138282,California,4,8,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf,34.4144,-119.857
18804,139689,California,4,0,http://www.latimes.com/local/la-me-0530-murder-suicide-20140530-story.html,33.5904,-117.656
20730,181998,Nevada,5,0,http://www.scrippsmedia.com/ktnv/news/New-video-shows-moments-leading-up-to-deadly-Walmart-shooting-305920841.html,36.1666,-115.062
20799,144524,Florida,5,0,http://www.news-press.com/story/news/crime/2014/06/08/fort-myers-death-investigation-san-carlos-park/10196401/,26.4815,-81.8213
21682,146990,Virginia,4,0,http://www.walb.com/story/25782982/shooting,37.236,-77.4669
25476,156670,Texas,6,1,http://www.chron.com/neighborhood/spring/news/article/Death-penalty-trial-set-for-man-accused-in-Spring-9186401.php,30.0405,-95.4424
28357,164513,Maine,5,0,http://bangordailynews.com/2014/11/18/news/portland/saco-man-who-killed-family-self-had-stopped-taking-antidepressants-because-h,43.4981,-70.449
29791,168844,Virginia,5,0,http://www.wusa9.com/story/news/local/virginia/2014/08/04/shooting-culpeper-va/13565331/,38.5631,-77.9829
33693,181121,Oklahoma,4,0,http://kfor.com/2014/08/26/four-dead-including-two-children-in-oklahoma-apartment-shooting/,36.1332,-95.8551
34497,183390,Illinois,4,0,http://www.myfoxchicago.com/story/26414352/police-4-family-members-found-shot-to-death-in-elmhurst,41.8815,-87.9329
34705,185128,Oklahoma,4,0,http://www.justice4caylee.org/t21918-franklin-yosiel-and-caroline-michelle-fuentes-ramirez-3-and-5-yo-8-14-shooter-father-william-rolando-fuentes-godinez-tulsa-ok,36.1329,-95.8553
37527,192851,Florida,8,0,http://www.wogx.com/story/26572200/multiple-shooting-deaths-reported-in-gilchrist-county,29.7555,-82.8626
40736,202897,Virginia,4,0,http://www.walb.com/story/26741459/next-at-11-4-dead-in-richmond-murder-suicide-chesterfield-pedestrian-struck-and-killed,37.509,-77.4748
40799,204254,New York,4,0,http://www.dailymail.co.uk/news/article-2786805/Cops-4-slain-include-2-adults-boys-ages-7-10.html,42.6914,-73.8712
43312,210363,Washington,5,1,http://www.kirotv.com/ap/ap/washington/father-of-high-school-shooter-indicted-on-5-new-ch/nm2m5/,48.092,-122.155
43627,211348,Kentucky,4,0,http://www.wave3.com/story/28087095/ksp-makes-2nd-arrest-in-trigg-co-murder-investigation,36.8285,-87.8527
46438,221347,Missouri,4,0,http://www.ky3.com/news/local/arrested-man-is-finally-charged-with-4-murders-at-motel-in-springfield/21048998_31173934,37.2432,-93.2613
47049,222932,New Jersey,4,0,http://www.thestate.com/2014/11/26/3837728/boy-shot-by-mom-in-murder-suicide.html,39.8751,-74.6662
47314,223799,South Dakota,4,1,http://www.argusleader.com/story/news/crime/2014/12/19/domestic-violence-behind-shooting-five-sisseton/20659351/,45.8562,-97.1072
47337,223651,Ohio,4,1,http://www.wkyc.com/news/local/cleveland/man-accused-of-5-murders-to-be-arraigned-again/133092060,41.518,-81.6234
48285,226466,West Virginia,5,0,http://www.wdtv.com/wdtv.cfm,39.6855,-79.8588
49958,263556,Pennsylvania,7,0,http://articles.philly.com/2015-12-16/news/69065523_1_bradley-stone-ex-wife-nicole-stone,40.2459,-75.282
50646,266407,Illinois,4,0,http://www.rrstar.com/article/20141230/NEWS/141239958/10447/NEWS,42.2938,-89.1072
50881,282186,New York,4,2,http://www.dailymail.co.uk/news/article-2254451/William-Spengler-shooting-Woman-24-bought-firearms-gunman-Christmas-Eve-firefighter-ambush.html,43.2367,-77.5261
52306,272531,California,4,0,http://www.turnto10.com/story/27747586/police-4th-victim-dies-after-man-shoots-family,37.6774,-120.961
52826,275007,Georgia,4,0,http://www.cnn.com/2015/01/06/us/georgia-sheriffs-deputy-family-murder-suicide/index.html,33.8091,-84.8283
53187,276459,California,4,0,http://www.nbclosangeles.com/news/california/4-People-Dead-in-San-Francisco-Shooting-288132691.html,37.7737,-122.426
55066,282956,New York,4,1,http://nypost.com/2015/01/26/dad-who-massacred-family-thought-baby-mama-was-cheating/,40.6557,-73.7508
55970,286810,Georgia,4,0,http://www.11alive.com/story/news/crime/2015/02/01/bodies-found-lagrange-home/22686703/,32.9776,-85.142
56416,288421,North Carolina,4,0,http://www.journalnow.com/news/crime/four-dead-in-stokes-county-shooting/article_eed92570-aca5-11e4-91e7-0f002c38c9b8.html,36.3457,-80.3199
56803,289811,Georgia,5,2,http://www.wbtw.com/story/28062177/fight-with-wife-over-taxes-lead-man-to-kill-4-people-police-say,33.7138,-84.6692
57200,293377,Kentucky,4,0,http://thenewsjournal.net/details/8813/UPDATE:-Disagreement-over-computer-use-possible-motive-for-Corbin-teen%27s-killing-spree#comments,36.9327,-84.1134
58428,296215,Texas,4,1,http://www.statesman.com/news/news/crime-law/police-four-dead-in-killeen-shooting/nkG9j/,31.1199,-97.6832
58843,298122,Missouri,8,1,http://www.times-standard.com/general-news/20150408/sheriff-missouri-shooter-was-drunk-had-marijuana-in-system,37.1956,-91.9012
59463,301026,Nevada,4,0,http://www.mynews3.com/content/news/local/story/Shooter-in-triple-homcide-dies-from-self/d2ullkcwAkS-XQH5QcYNnw.cspx?rss=3269,36.1485,-115.298
62028,311535,Alaska,4,0,http://www.adn.com/article/20150603/kenai-police-missing-family-died-murder-suicide,60.589,-151.316
62324,312119,Indiana,4,0,http://fox59.com/2015/03/25/family-member-of-quadruple-homicide-victims-enough-is-enough/,39.811,-86.1871
63596,316989,Oklahoma,4,0,http://ksnt.com/2015/04/02/tulsa-police-say-man-killed-his-wife-2-sons-then-himself/,36.0922,-95.791
65810,324424,Arizona,5,0,http://www.azcentral.com/story/news/local/phoenix/2015/04/17/phoenix-five-murdered-abrk/25930963/,33.6417,-111.989
68317,333750,Wisconsin,4,1,http://fox6now.com/2015/06/11/released-menasha-police-issue-final-report-on-trestle-trail-bridge-shooting/,44.2029,-88.4656
69698,339229,Arizona,5,0,http://www.scrippsmedia.com/kgun9/news/Murder-suicide-on-southside-multiple-victims-303547701.html,32.1299,-111.066
69885,340448,Alaska,4,0,http://www.ktuu.com/news/news/south-anchorage-familys-slaying-was-murdersuicide-police-say/33146744,61.1537,-149.874
70511,341622,Texas,9,18,http://www.wacotrib.com/news/twin-peaks-biker-shooting/tensions-rise-during-hearing-in-twin-peaks-shootout-case/article_134bd989-10bd-5966-8fff-de0c988d8369.html,31.5039,-97.129
73910,353854,Montana,5,0,http://www.spokesman.com/stories/2015/jun/14/family-friends-mourn-montana-murder-suicide/,46.3991,-112.738
74997,357164,Ohio,4,1,http://nbc4i.com/2017/01/19/robert-adams-sentenced-to-life-without-parole-for-each-victim-of-columbus-quadruple-murder/,40.0134,-82.9664
75530,359830,South Carolina,9,0,http://7online.com/news/charleston-shooting-suspect-tried-killing-self-after-shooting-victims-son-says/797301/,32.7876,-79.9332
76085,362259,Utah,4,0,http://www.ksl.com/?sid=35183732&nid=148&s_cid=rss-extlink,41.1774,-112.031
76979,364715,Florida,4,0,http://www.cbsnews.com/news/cops-grandmother-kills-daughter-grandchildren-self/,26.6089,-80.1176
78362,369120,South Carolina,4,0,http://www.heraldonline.com/news/local/crime/article26650144.html,34.8779,-81.0499
79849,374630,South Carolina,4,1,http://thetandd.com/news/sheriff-dad-s-drug-dealing-responsible-for-deaths/article_d54693a5-3dfb-56fb-90d9-50e7c8533f28.html,33.3467,-80.45
79992,375022,Tennessee,6,2,http://www.huffingtonpost.com/entry/shooter-tennessee-quran_55aab832e4b065dfe89e8af5?,35.0905,-85.2591
81096,379166,Georgia,5,0,http://www.ajc.com/news/news/crime-law/5th-person-dies-after-july-murder-suicide-in-forsy/npcqz/,34.0802,-84.1272
83687,390050,Vermont,4,0,http://www.pressherald.com/2017/11/15/vermont-woman-who-killed-three-relatives-social-worker-sentenced-to-life/,44.1984,-72.5351
83911,390526,Texas,8,0,http://www.star-telegram.com/news/state/texas/article59689976.html,29.9199,-95.452
87696,407854,New Jersey,4,0,http://nypost.com/2015/09/04/deaths-of-family-in-jersey-shore-fire-were-murder-suicide/,40.3111,-73.9904
88884,410852,Washington,4,0,http://www.kirotv.com/news/news/2-people-shot-death-near-manson/nnbD4/,47.9018,-120.132
89196,412040,Minnesota,5,0,http://www.startribune.com/investigation-continues-into-deaths-of-greenwood-family/326692481/,47.6919,-95.4311
89645,413060,Louisiana,4,0,http://theadvocate.com/news/13436293-100/four-found-dead-in-apparent,30.5576,-91.0835
89803,413522,Louisiana,4,0,http://www.ksla.com/story/30019034/ebrso-4-dead-in-suspected-murdersuicide,30.5576,-91.0835
90315,418318,South Dakota,6,0,http://www.dailymail.co.uk/news/article-3250365/Elementary-school-funeral-remembers-four-children-killed-murder-suicide-South-Dakota-father-burnt-home-focus-state-audit.html,43.3153,-98.6045
92616,423863,Florida,4,0,http://www.theguardian.com/world/2015/oct/11/mass-shooting-florida-1000th-sandy-hook?1,29.0313,-82.6723
92624,423223,Oregon,10,9,http://www.kval.com/news/local/Nine-wounded-victims-in-UCC-Umpqua-Community-College-shooting-Mercy-Medical-Roseburg-Oregon-330413951.html,43.2628,-123.28
96988,439734,Colorado,4,0,http://www.krdo.com/news/ap-colorado-springs-gunman-identified-as-33yearold/36192496,38.8363,-104.811
97195,440743,South Carolina,4,0,http://www.greenvilleonline.com/story/news/crime/2015/11/03/anderson-county-sheriffs-office-4-adults-murdered/75091588/,34.6474,-82.748
97626,442231,Maine,4,0,http://bangordailynews.com/2015/11/06/news/mid-maine/we-didnt-really-know-who-he-was-friend-of-oakland-victims-says-of-suspected-shooter/,44.5413,-69.7247
98901,446996,Florida,4,1,http://www.firstcoastnews.com/story/news/2015/11/13/jso-conducting-death-investigation-on-northside/75728982/,30.4653,-81.6075
100257,452007,Ohio,4,1,http://www.dispatch.com/content/stories/local/2015/11/24/Hilltop-shooting-witness.html,39.9533,-83.0662
101531,456893,California,16,19,http://www.latimes.com/local/lanow/la-me-ln-san-bernardino-shooting-victims-htmlstory.html,34.0758,-117.277
105580,476338,California,4,0,http://ktla.com/2016/01/02/authorities-id-4-fatally-shot-in-rowland-heights/,33.9799,-117.905
109520,494378,Virginia,6,0,http://www.dailypress.com/news/crime/dp-6-dead-in-chesapeake-murder-suicide-20160128-story.html,36.7921,-76.3293
111090,501153,Texas,4,0,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=59135&menugroup=Home,29.1582,-99.7357
112810,590221,Missouri,4,0,http://www.kansascity.com/news/local/crime/article61854977.html,39.4922,-94.6372
112882,508640,Michigan,6,2,http://www.wzzm13.com/news/local/kalamazoo/kalamazoo-shootings/kalamazoo-shootings-suspect-to-stand-trial-in-june/420596651,42.2354,-85.676
113402,509897,Arizona,5,0,http://www.dailymail.co.uk/news/article-3460182/Authorities-Shooting-reported-Phoenix-home-fire.html,33.5927,-112.163
113601,511436,Kansas,4,14,http://www.kansas.com/news/local/crime/article62604937.html,38.1368,-97.4268
113797,512073,Washington,5,0,http://www.king5.com/story/news/local/2016/03/01/mason-county-killer-used-gun-dead-man/81183344/,47.5033,-122.931
115145,518436,Kansas,5,0,http://fox40.com/2016/03/09/suspect-in-5-killings-arrested-after-manhunt/#,39.0476,-94.6699
115584,519541,Pennsylvania,5,3,http://triblive.com/local/allegheny/12581994-74/judge-to-decide-whether-suspects-in-wilkinsburg-mass-shooting-will-be-tried?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+yourcranberry+%28Your+Cranberry+News%29,40.4385,-79.8722
117304,525992,Kentucky,4,0,http://www.wlky.com/news/homicide-investigation-underway-after-4-bodies-pulled-from-burning-home/38613318,38.1746,-85.5286
117435,527206,Texas,4,0,http://heralddemocrat.com/news/local/spd-says-sherman-deaths-were-murder-suicide,33.6619,-96.6358
119101,532377,Nevada,4,0,http://news3lv.com/news/local/suspect-in-fatal-shootings-that-involved-k-9-nicky-dies-from-wounds,36.327,-115.296
122008,543457,Texas,4,0,http://www.ktxs.com/news/texas-police-father-kills-wife-son-daughter-then-himself/39109508,29.7542,-95.8313
122425,546022,Georgia,6,0,http://www.ajc.com/news/news/crime-law/police-suspect-in-five-shooting-deaths-in-appling-/nq9wg/,33.5989,-82.2244
122526,545525,Ohio,8,0,http://www.youralaskalink.com/news/family-wanted-for-questioning-in-execution-style-murder-might-be/article_0dde898c-5614-11e7-9a74-1b476b6844f0.html,39.0201,-83.275
124198,552393,Florida,4,0,http://www.wgrz.com/news/local/ccso-deputies-searching-for-shooting-suspect-in-green-cove-springs/167137651,29.9988,-81.709
125533,557553,Illinois,4,0,https://www.dnainfo.com/chicago/20160512/englewood/englewood-shooting-kills-2-women-1-man-domestic-incident-police-say,41.7652,-87.6616
126150,565244,Georgia,5,0,http://www.wctv.tv/content/news/Indictments-handed-down-to-Jeffrey-Peacock-in-quintuple-murder-416724493.html,31.2124,-83.8518
130372,577574,New Mexico,5,0,http://krqe.com/2017/03/29/roswell-man-accused-of-killing-his-family-extradited-to-us-from-mexico/,33.4196,-104.518
130448,577157,Florida,50,53,https://www.reuters.com/article/us-orlando-shooting-idUSKBN1901CK,28.5195,-81.3767
133121,592207,Nevada,5,0,http://www.fox5vegas.com/story/32388105/homicide-victim-denied-protective-order-weeks-before-slaying,36.1958,-115.224
134393,597756,Texas,5,9,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=65327&menugroup=Home,32.7793,-96.8052
136071,604762,Louisiana,4,3,http://www.nola.com/crime/index.ssf/2017/06/baton_rouge_police_ambush.html,30.4334,-91.0817
136987,610379,Texas,4,1,http://www.star-telegram.com/news/state/texas/article92305362.html,30.1029,-97.3288
138261,617152,Missouri,4,0,http://www.stltoday.com/news/local/crime-and-courts/depression-paranoia-cited-in-bridgeton-murder-suicide-that-left-four/article_9016ad4d-a30f-5808-a74a-65176c575750.html,38.7409,-90.4233
139438,623195,Pennsylvania,5,0,http://www.readingeagle.com/news/article/sinking-spring-man-killed-family-self-investigators-say,40.33,-76.0256
141982,634819,Alabama,5,0,http://www.fox10tv.com/story/32806421/names-of-citronelle-murder-victims-released-by-officials,31.05,-88.3088
143575,684389,California,5,0,http://www.seniorliving.org/facilities/ca/renee-jennex-small-family-home-arf/,33.5196,-117.032
145394,651957,Texas,4,0,http://www.mystatesman.com/news/news/local/officials-suspect-del-valle-fire-linked-to-death-o/nsT8S/?icmp=statesman_internallink_referralbox_free-to-premium-referral,30.1343,-97.5936
147850,661703,Washington,5,0,http://www.khq.com/story/35170548/prosecutor-suspect-in-washington-mall-shooting-found-dead,48.4646,-122.338
149140,668279,Illinois,4,0,http://www.daily-journal.com/news/local/arrest-made-in-october-homicide-in-pembroke/article_cd4cf89c-eff6-5733-bfac-4254dd5d1a1c.html,41.086,-87.5391
151406,676663,California,4,11,http://abc7.com/news/2-arrested-in-deadly-west-adams-party-shooting-/1557964/,34.0274,-118.351
153436,686312,Georgia,4,0,http://www.henryherald.com/news/kosky-baker-indicted-in-moccasin-gap-quadruple-murder/article_6d0daa57-dc4a-5b7a-92bc-29a69bae506a.html,33.384,-83.9905
158253,710885,Alaska,4,0,http://www.ktva.com/4-people-found-dead-fairbanks-hotel-police-investigating-879/,64.86,-147.704
160035,719128,New Mexico,4,1,http://www.santafenewmexican.com/news/local_news/police-release-names-of-kids-fatally-shot-in-albuquerque/article_ce527e23-3281-519b-b429-964611e3478b.html,35.0483,-106.49
160641,725323,Texas,4,0,http://www.khou.com/news/family-pleads-for-justice-in-murder-of-19-year-old/385366389,29.7717,-95.1392
162134,727759,Illinois,5,0,https://chicago.suntimes.com/news/woman-dies-10-months-after-roseland-home-invasion-shooting/,41.7037,-87.6259
163125,733176,North Carolina,4,0,http://www.wect.com/story/36139504/nc-man-charged-in-quadruple-murder-on-christmas-eve,35.734,-77.8724
164541,740442,South Carolina,4,0,http://www.wmcactionnews5.com/story/34164140/coroner-identifies-mother-father-and-kids-shot-to-death-in-lex-co-home,33.9428,-81.1725
165158,744381,Oregon,4,0,http://www.oregonlive.com/pacific-northwest-news/index.ssf/2017/08/hubbard_man_killed_his_wife_an.html,45.1936,-122.768
165585,743995,Florida,5,6,http://wavy.com/2017/01/10/airman-who-served-at-langley-eustis-injured-in-florida-airport-shooting/,26.0698,-80.1367
166204,748479,Colorado,4,0,http://www.krdo.com/news/crime/el-paso-county-crime/police-investigate-4-deaths-in-colorado-springs/262272662,38.8013,-104.762
168908,1025158,Washington,4,0,http://komonews.com/news/local/person-of-interest-identified-in-kitsap-county-quadruple-murder,47.5625,-122.828
170541,768243,Mississippi,4,0,http://www.msnewsnow.com/story/34433092/victims-of-yazoo-city-quadruple-homicide-identified,32.8634,-90.4092
170672,772743,Oklahoma,4,0,http://www.tulsaworld.com/homepagelatest/morris-man-was-drunk-when-he-shot-wife-children-multiple/article_ac75de3a-cf74-57aa-9f11-d65bd17cfa63.html,35.6098,-95.8909
171024,771826,Mississippi,4,0,http://www.jacksonfreepress.com/news/2017/feb/15/murder-city-deep-causes-harmful-biases-unexpected-/,32.3065,-90.239
172766,778961,Idaho,4,0,http://www.sltrib.com/news/4963069-155/shooting-deaths-preston-police-find-four,42.092,-111.879
173118,779582,Mississippi,4,0,http://www.wbrc.com/story/34556453/suspect-identified-in-quadruple-homicide-of-mississippi-family,32.434,-88.4973
173498,781439,Kansas,4,0,http://www.thekansan.com/news/20170223/homicide-in-newton-three-found-dead-suspect-shot-by-police,38.024,-97.3183
174974,789126,California,4,0,http://www.ivpressonline.com/quicknews/el-centro-police-identify-murder-suicide-victims/article_be9ae648-037c-11e7-856f-23da01a0c7a4.html?mode=jqm,32.7865,-115.579
177518,800363,Wisconsin,5,0,http://www.jsonline.com/story/news/2017/08/29/report-mass-shooter-nengmy-vang-admitted-killings-demanded-tell-his-side/611830001/,44.8975,-89.6129
177595,800828,Louisiana,4,1,http://www.katc.com/story/35014611/third-victim-identified-in-fatal-officer-involved-shooting,30.2092,-92.3562
179012,807691,Ohio,4,0,http://www.newsnet5.com/news/news-photo-gallery/scenes-from-a-tragedy-quadruple-shooting-leaves-canton-neighborhood-in-shock-mourning,40.804,-81.3991
179039,807618,Illinois,4,0,http://abc7chicago.com/news/man-charged-in-south-shore-quadruple-murder/1838414/,41.7601,-87.5583
180459,813943,Minnesota,4,1,http://minnesota.cbslocal.com/2017/04/07/fatal-shooting-st-paul-lake-phalen/?e=keizq5muagHJFw,44.9896,-93.0457
180487,813821,Texas,5,0,http://www.chron.com/news/houston-texas/article/Mother-of-2-among-dead-in-triple-murder-suicide-11061592.php,29.6858,-95.3668
184747,832528,Kansas,4,1,http://cjonline.com/news/crime-courts/local/2017-05-02/days-killings-josh-gueary-was-paranoid-bought-gun-fought-brother,39.0161,-95.728
186896,841800,Ohio,4,0,https://www.10tv.com/article/kirkersville-gunman-may-have-bought-gun-private-sale,39.959,-82.5962
189720,853756,Mississippi,8,1,http://www.bradfordera.com/news/nation/mississippi-man-indicted-in-shooting-deaths-of-people/article_cba8f322-f18c-5c80-8495-9594d73da942.html,31.4109,-90.4609
191239,860792,Indiana,4,0,http://fox59.com/2017/06/05/isp-seeking-public-assistance-related-to-triple-slaying-in-southern-indiana/,38.5157,-86.1703
191341,859875,Florida,6,0,https://www.clickorlando.com/news/fiamma-shooter-legally-intoxicated-when-he-killed-5-coworkers-autopsy-shows,28.5799,-81.2934
191824,862587,Pennsylvania,4,0,http://wnep.com/2017/06/27/weis-market-set-to-reopen-after-shooting/,41.4346,-75.9228
192815,866933,California,4,2,https://www.thestar.com/news/world/2017/06/23/san-francisco-ups-warehouse-shooter-used-stolen-gums-in-rampage.html,37.7596,-122.405
192937,868363,New Mexico,5,0,http://www.rdrnews.com/2017/11/16/new-mexico-man-indicted-in-shooting-rampage/,36.384,-106.041
196696,883058,Maine,4,1,http://www.gunviolencearchive.org/incident/883058/edit,44.7906,-69.7873
197019,890129,Pennsylvania,4,0,http://www.pennlive.com/nation-world/2017/12/cousins_charged_in_shooting_de.html#incart_river_home,40.3496,-75.0176
197834,888382,Alabama,4,0,http://abcnews.go.com/US/wireStory/latest-dead-alabama-shooting-48590922,33.6858,-86.8068
198060,889758,South Carolina,4,0,http://ksnt.com/2017/07/25/police-s-carolina-mom-killed-woman-2-kids-then-herself/,34.8341,-82.5029
204823,917820,North Carolina,4,0,http://www.wral.com/two-suspects-in-enfield-quadruple-homicide-also-charged-in-other-killings/17244753/,36.1688,-77.8286
205098,919715,California,4,0,http://ktla.com/2017/08/24/bloomington-house-fire-that-left-family-of-4-dead-being-investigated-as-murder-suicide-sheriffs-dept/,34.0559,-117.396
205248,920513,Missouri,4,0,http://stlouis.cbslocal.com/2017/12/16/suspect-arrested-in-august-quadruple-murder/,38.754,-90.201
207904,930569,Texas,9,1,http://www.fox4news.com/news/plano-gunman-extremely-drunk-at-time-of-mass-shooting,33.056,-96.7261
211944,952720,Arizona,4,0,http://www.pinalcentral.com/casa_grande_dispatch/area_news/police-identify-suspects-victims-in-deadly-cg-shooting/article_c1f1de49-e2ea-5d6e-a93a-77dde5f3a44b.html,32.8854,-111.757
213026,957562,Ohio,4,0,http://local12.com/news/local/prosecutor-says-hell-pursue-death-penalty-for-ohio-man-accused-of-killing-4,38.7083,-82.6423
217151,980577,Texas,27,20,http://abc7.com/full-list-of-texas-church-shooting-victims-identified/2607282/,29.2733,-98.0564
217841,1014364,Utah,4,0,http://fox13now.com/2017/11/10/mapleton-family-of-four-found-shot-to-death-inside-home-in-possible-murder-suicide/,40.1165,-111.598
217973,985057,Arizona,4,0,http://www.dailymail.co.uk/news/article-5073799/Four-confirmed-dead-Arizona-domestic-murder-suicide.html,33.6121,-111.864
218580,987611,California,6,12,http://www.times-standard.com/general-news/20171208/rancho-tehama-gunman-shot-himself-autopsy-finds,40.0187,-122.393
225837,1018118,New Jersey,4,0,http://www.nj.com/monmouth/index.ssf/2018/01/third_person_escaped_home_in_killing_of_parents_sister_family_friend_prosecutor.html#incart_river_index,40.2927,-74.0028
